id,about,prefLabel,lang,altLabel,broader,facetaAcronimo,faceta,prefNodeId
1980,agencia.nacional.telecomunicacoes;superintendencia.outorga.recursos.prestacao,"Superintendência de Outorga e Recursos à Prestação",pt-BR,SOR,#agencia.nacional.telecomunicacoes,SOR – Superintendência de Outorga e Recursos à Prestação,Superintendência de Outorga e Recursos à Prestação,label_6838
1981,agencia.nacional.telecomunicacoes;superintendencia.fiscalizacao,"Superintendência de Fiscalização",pt-BR,SFI,#agencia.nacional.telecomunicacoes,SFI – Superintendência de Fiscalização,Superintendência de Fiscalização,label_6840
1982,agencia.nacional.telecomunicacoes;superintendencia.controle.obrigacoes,"Superintendência de Controle de Obrigações",pt-BR,SCO,#agencia.nacional.telecomunicacoes,SCO – Superintendência de Controle de Obrigações,Superintendência de Controle de Obrigações,label_6842
1983,agencia.nacional.telecomunicacoes;superintendencia.competicao,"Superintendência de Competição",pt-BR,SCP,#agencia.nacional.telecomunicacoes,SCP – Superintendência de Competição,Superintendência de Competição,label_6844
1984,agencia.nacional.telecomunicacoes;superientendencia.relacoes.consumidores,"Superintendência de Relações com Consumidores",pt-BR,SRC,#agencia.nacional.telecomunicacoes,SRC – Superintendência de Relações com Consumidores,Superintendência de Relações com Consumidores,label_6846
1985,agencia.nacional.telecomunicacoes;superintendencia.gestao.interna.informacao,"Superintendência de Gestão Interna da Informação",pt-BR,SGI,#agencia.nacional.telecomunicacoes,SGI – Superintendência de Gestão Interna da Informação,Superintendência de Gestão Interna da Informação,label_6848
1986,agencia.nacional.telecomunicacoes;superintendencia.administracao.financas,"Superintendência de Administração e Finanças",pt-BR,SAF,#agencia.nacional.telecomunicacoes,SAF – Superintendência de Administração e Finanças,Superintendência de Administração e Finanças,label_6850
1987,agencia.nacional.telecomunicacoes;superintendencia.administracao.financas;gerencia.aquisicoes.contratos,"Gerência de Aquisições e Contratos",pt-BR,AFCA,#agencia.nacional.telecomunicacoes;superintendencia.administracao.financas,AFCA – Gerência de Aquisições e Contratos,Gerência de Aquisições e Contratos,label_6852
1990,ministerio.planejamento.orcamento.gestao;secretaria.gestao.publica;departamento.normas.procedimentos.judiciais.pessoal;coordenacao.geral.aplicacao.normas,"Ministério do Planejamento, Orçamento e Gestão. Secretaria de Gestão Pública. Departamento de Normas e Procedimentos Judiciais de Pessoal. Coordenação-Geral de Aplicação das Normas",pt-BR,,#ministerio.planejamento.orcamento.gestao;secretaria.gestao.publica;departamento.normas.procedimentos.judiciais.pessoal,,"Federal::Executivo::Ministério do Planejamento, Orçamento e Gestão::Secretaria de Gestão Pública::Departamento de Normas e Procedimentos Judiciais de Pessoal::Coordenação-Geral de Aplicação das Normas",label_6856
1991,presidencia.republica;secretaria.direitos.humanos,"Presidência da República. Secretaria de Direitos Humanos",pt-BR,,#presidencia.republica,,Federal::Executivo::Presidência da República::Secretaria de Direitos Humanos,label_6857
