id,about,prefLabel,lang,altLabel,broader,facetaAcronimo,faceta,prefNodeId
2270,br:supremo.tribunal.federal:acordao;re.peticao.avulsa.agr,"RE-petição avulsa-AgR",pt-BR,"Agravo Regimental na Petição no Recurso Extraordinário",#acordao,RE-petição avulsa-AgR – Agravo Regimental na Petição no Recurso Extraordinário,Jurisprudência::Acórdão,label_6246
2271,br:supremo.tribunal.federal:acordao;rhc.edv,RHC-EDv,pt-BR,"Embargos de Divergência no Recurso Ordinário em Habeas Corpus",#acordao,RHC-EDv – Embargos de Divergência no Recurso Ordinário em Habeas Corpus,Jurisprudência::Acórdão,label_6248
2272,br:supremo.tribunal.federal:acordao;re.excecao.suspeicao,"RE-exceção de suspeição",pt-BR,"Exceção de Suspeição no Recurso Extraordinário",#acordao,RE-exceção de suspeição – Exceção de Suspeição no Recurso Extraordinário,Jurisprudência::Acórdão,label_6250
2273,br:supremo.tribunal.federal:acordao;ai.ed.edv,AI-ED-EDv,pt-BR,"Embargos de Divergência nos Embargos de Declaração no Agravo de Instrumento",#acordao,AI-ED-EDv – Embargos de Divergência nos Embargos de Declaração no Agravo de Instrumento,Jurisprudência::Acórdão,label_6252
2274,br:supremo.tribunal.federal:acordao;re.agr.agr.edv.agr,RE-AgR-AgR-EDv-AgR,pt-BR,"Agravo Regimental nos Embargos de Divergência no Agravo Regimental no Agravo Regimental no Recurso Extraordinário",#acordao,RE-AgR-AgR-EDv-AgR – Agravo Regimental nos Embargos de Divergência no Agravo Regimental no Agravo Regimental no Recurso Extraordinário,Jurisprudência::Acórdão,label_6254
2275,br:supremo.tribunal.federal:acordao;ms.ei,MS-EI,pt-BR,"Embargos Infringentes no Mandado de Segurança",#acordao,MS-EI – Embargos Infringentes no Mandado de Segurança,Jurisprudência::Acórdão,label_6256
2276,br:supremo.tribunal.federal:acordao;re.agr.agr.agr.ed,RE-AgR-AgR-AgR-ED,pt-BR,"Embargos de Declaração no Agravo Regimental no Agravo Regimental no Agravo Regimental no Recurso Extraordinário",#acordao,RE-AgR-AgR-AgR-ED – Embargos de Declaração no Agravo Regimental no Agravo Regimental no Agravo Regimental no Recurso Extraordinário,Jurisprudência::Acórdão,label_6258
2277,br:supremo.tribunal.federal:acordao;re.ed.ed.edv.agr.agr.ed,RE-ED-ED-EDv-AgR-AgR-ED,pt-BR,"Embargos de Declaração no Agravo Regimental no Agravo Regimental nos Embargos de Divergência nos Embargos de Declaração nos Embargos de Declaração no Recurso Extraordinário",#acordao,RE-ED-ED-EDv-AgR-AgR-ED – Embargos de Declaração no Agravo Regimental no Agravo Regimental nos Embargos de Divergência nos Embargos de Declaração nos Embargos de Declaração no Recurso Extraordinário,Jurisprudência::Acórdão,label_6260
2278,br:supremo.tribunal.federal:acordao;re.agr.ed.ed.ed.ed.ed.ed,RE-AgR-ED-ED-ED-ED-ED-ED,pt-BR,"Embargos de Declaração nos Embargos de Declaração nos Embargos de Declaração nos Embargos de Declaração nos Embargos de Declaração nos Embargos de Declaração no Agravo Regimenal no Recurso Extraordinário",#acordao,RE-AgR-ED-ED-ED-ED-ED-ED – Embargos de Declaração nos Embargos de Declaração nos Embargos de Declaração nos Embargos de Declaração nos Embargos de Declaração nos Embargos de Declaração no Agravo Regimenal no Recurso Extraordinário,Jurisprudência::Acórdão,label_6262
2279,br:supremo.tribunal.federal:acordao;hc.agr.2.julg,HC-AgR-2ºJULG,pt-BR,"Segundo Julgamento no Agravo Regimental no Habeas Corpus",#acordao,HC-AgR-2ºJULG – Segundo Julgamento no Agravo Regimental no Habeas Corpus,Jurisprudência::Acórdão,label_6264
2280,br:supremo.tribunal.federal:acordao;ap.agr.quarto,AP-AgR-Quarto,pt-BR,"Quarto Agravo Regimental na Ação Penal",#acordao,AP-AgR-Quarto – Quarto Agravo Regimental na Ação Penal,Jurisprudência::Acórdão,label_6266
2281,br:supremo.tribunal.federal:acordao;ai.edv.ed.agr,AI-EDv-ED-AgR,pt-BR,"Agravo Regimental nos Embargos de Declaração nos Embargos de Divergência no Agravo de Instrumento",#acordao,AI-EDv-ED-AgR – Agravo Regimental nos Embargos de Declaração nos Embargos de Divergência no Agravo de Instrumento,Jurisprudência::Acórdão,label_6268
2282,br:supremo.tribunal.federal:acordao;hc.ed.ed.agr.ed,HC-ED-ED-AgR-ED,pt-BR,"Embargos de Declaração no Agravo Regimental nos Embargos de Declaração nos Embargos de Declaração no Habeas Corpus",#acordao,HC-ED-ED-AgR-ED – Embargos de Declaração no Agravo Regimental nos Embargos de Declaração nos Embargos de Declaração no Habeas Corpus,Jurisprudência::Acórdão,label_6270
