id,about,prefLabel,lang,altLabel,broader,facetaAcronimo,faceta,prefNodeId
4256,br;bahia;sao.miguel.matas,"São Miguel das Matas - BA",pt-BR,,#br;bahia,,Municípios::São Miguel das Matas - BA,label_9167
4257,br;bahia;sao.sebastiao.passe,"São Sebastião do Passé - BA",pt-BR,,#br;bahia,,Municípios::São Sebastião do Passé - BA,label_9168
4258,br;bahia;sapeacu,"Sapeaçu - BA",pt-BR,,#br;bahia,,Municípios::Sapeaçu - BA,label_9169
4259,br;bahia;satiro.dias,"Sátiro Dias - BA",pt-BR,,#br;bahia,,Municípios::Sátiro Dias - BA,label_9170
4260,br;bahia;saubara,"Saubara - BA",pt-BR,,#br;bahia,,Municípios::Saubara - BA,label_9171
4261,br;bahia;saude,"Saúde - BA",pt-BR,,#br;bahia,,Municípios::Saúde - BA,label_9172
4262,br;bahia;seabra,"Seabra - BA",pt-BR,,#br;bahia,,Municípios::Seabra - BA,label_9173
4263,br;bahia;sebastiao.laranjeiras,"Sebastião Laranjeiras - BA",pt-BR,,#br;bahia,,Municípios::Sebastião Laranjeiras - BA,label_9174
4264,br;bahia;senhor.bonfim,"Senhor do Bonfim - BA",pt-BR,,#br;bahia,,Municípios::Senhor do Bonfim - BA,label_9175
4265,br;bahia;serra.ramalho,"Serra do Ramalho - BA",pt-BR,,#br;bahia,,Municípios::Serra do Ramalho - BA,label_9176
4266,br;bahia;sento.se,"Sento Sé - BA",pt-BR,,#br;bahia,,Municípios::Sento Sé - BA,label_9177
4267,br;bahia;serra.dourada,"Serra Dourada - BA",pt-BR,,#br;bahia,,Municípios::Serra Dourada - BA,label_9178
4268,br;bahia;serra.preta,"Serra Preta - BA",pt-BR,,#br;bahia,,Municípios::Serra Preta - BA,label_9179
4269,br;bahia;serrinha,"Serrinha - BA",pt-BR,,#br;bahia,,Municípios::Serrinha - BA,label_9180
4270,br;bahia;serrolandia,"Serrolândia - BA",pt-BR,,#br;bahia,,Municípios::Serrolândia - BA,label_9181
4271,br;bahia;simoes.filho,"Simões Filho - BA",pt-BR,,#br;bahia,,Municípios::Simões Filho - BA,label_9182
4272,br;bahia;sitio.mato,"Sítio do Mato - BA",pt-BR,,#br;bahia,,Municípios::Sítio do Mato - BA,label_9183
4273,br;bahia;sitio.quinto,"Sítio do Quinto - BA",pt-BR,,#br;bahia,,Municípios::Sítio do Quinto - BA,label_9184
4274,br;bahia;sobradinho,"Sobradinho - BA",pt-BR,,#br;bahia,,Municípios::Sobradinho - BA,label_9185
4275,br;bahia;souto.soares,"Souto Soares - BA",pt-BR,,#br;bahia,,Municípios::Souto Soares - BA,label_9186
4276,br;bahia;tabocas.brejo.velho,"Tabocas do Brejo Velho - BA",pt-BR,,#br;bahia,,Municípios::Tabocas do Brejo Velho - BA,label_9187
4277,br;bahia;tanhacu,"Tanhaçu - BA",pt-BR,,#br;bahia,,Municípios::Tanhaçu - BA,label_9188
4278,br;bahia;tanque.novo,"Tanque Novo - BA",pt-BR,,#br;bahia,,Municípios::Tanque Novo - BA,label_9189
4279,br;bahia;tanquinho,"Tanquinho - BA",pt-BR,,#br;bahia,,Municípios::Tanquinho - BA,label_9190
4280,br;bahia;taperoa,"Taperoá - BA",pt-BR,,#br;bahia,,Municípios::Taperoá - BA,label_9191
4281,br;bahia;tapiramuta,"Tapiramutá - BA",pt-BR,,#br;bahia,,Municípios::Tapiramutá - BA,label_9192
4282,br;bahia;teixeira.freitas,"Teixeira de Freitas - BA",pt-BR,,#br;bahia,,Municípios::Teixeira de Freitas - BA,label_9193
4283,br;bahia;teodoro.sampaio,"Teodoro Sampaio - BA",pt-BR,,#br;bahia,,Municípios::Teodoro Sampaio - BA,label_9194
4284,br;bahia;teofilandia,"Teofilândia - BA",pt-BR,,#br;bahia,,Municípios::Teofilândia - BA,label_9195
4285,br;bahia;teolandia,"Teolândia - BA",pt-BR,,#br;bahia,,Municípios::Teolândia - BA,label_9196
4286,br;bahia;terra.nova,"Terra Nova - BA",pt-BR,,#br;bahia,,Municípios::Terra Nova - BA,label_9197
4287,br;bahia;tremedal,"Tremedal - BA",pt-BR,,#br;bahia,,Municípios::Tremedal - BA,label_9198
4288,br;bahia;tucano,"Tucano - BA",pt-BR,,#br;bahia,,Municípios::Tucano - BA,label_9199
4289,br;bahia;uaua,"Uauá - BA",pt-BR,,#br;bahia,,Municípios::Uauá - BA,label_9200
4290,br;bahia;ubaira,"Ubaíra - BA",pt-BR,,#br;bahia,,Municípios::Ubaíra - BA,label_9201
4291,br;bahia;ubaitaba,"Ubaitaba - BA",pt-BR,,#br;bahia,,Municípios::Ubaitaba - BA,label_9202
4292,br;bahia;ubata,"Ubatã - BA",pt-BR,,#br;bahia,,Municípios::Ubatã - BA,label_9203
4293,br;bahia;uibai,"Uibaí - BA",pt-BR,,#br;bahia,,Municípios::Uibaí - BA,label_9204
4294,br;bahia;umburanas,"Umburanas - BA",pt-BR,,#br;bahia,,Municípios::Umburanas - BA,label_9205
4295,br;bahia;una,"Una - BA",pt-BR,,#br;bahia,,Municípios::Una - BA,label_9206
4296,br;bahia;urandi,"Urandi - BA",pt-BR,,#br;bahia,,Municípios::Urandi - BA,label_9207
